Relabeling File (edit at your own risks)

Structures:	81
0	Unknown							0
1	Left-Cerebral-Exterior			0
2	Left-Cerebral-White-Matter		0
3	Left-Cerebral-Cortex			0
4	Left-Lateral-Ventricle			0
5	Left-Inf-Lat-Vent				0
6	Left-Cerebellum-Exterior		0
7	Left-Cerebellum-White-Matter	0
8	Left-Cerebellum-Cortex			0
9	Left-Thalamus					0
10	Left-Thalamus-Proper			0
11	Left-Caudate					0
12	Left-Putamen					0
13	Left-Pallidum					0
14	3rd-Ventricle					0
15	4th-Ventricle					0
16	Brain-Stem						0
17	Left-Hippocampus				0
18	Left-Amygdala					0
19	Left-Insula						0
20	Left-Operculum					0
21	Line-1							0
22	Line-2							0
23	Line-3							0
24	CSF								0
25	Left-Lesion						0
26	Left-Accumbens-area				0
27	Left-Substancia-Nigra			0
28	Left-VentralDC					0
29	Left-undetermined				0
30	Left-vessel						0
31	Left-choroid-plexus				0
32	Left-F3orb						0
33	Left-lOg						0
34	Left-aOg						0
35	Left-mOg						0
36	Left-pOg						0
37	Left-Stellate					0
38	Left-Porg						0
39	Left-Aorg						0
40	Right-Cerebral-Exterior			0
41	Right-Cerebral-White-Matter		2
42	Right-Cerebral-Cortex			1
43	Right-Lateral-Ventricle			2
44	Right-Inf-Lat-Vent				2
45	Right-Cerebellum-Exterior		0
46	Right-Cerebellum-White-Matter	0
47	Right-Cerebellum-Cortex			0
48	Right-Thalamus					2
49	Right-Thalamus-Proper			2
50	Right-Caudate					2
51	Right-Putamen					2
52	Right-Pallidum					2
53	Right-Hippocampus				0
54	Right-Amygdala					0
55	Right-Insula					2
56	Right-Operculum					2
57	Right-Lesion					2
58	Right-Accumbens-area			2
59	Right-Substancia-Nigra			2
60	Right-VentralDC					0
61	Right-undetermined				0
62	Right-vessel					0
63	Right-choroid-plexus			2
64	Right-F3orb						0
65	Right-lOg						0
66	Right-aOg						0
67	Right-mOg						0
68	Right-pOg						0
69	Right-Stellate					0
70	Right-Porg						0
71	Right-Aorg						0
72	5th-Ventricle					0
73	Right_Thin_Cerebral_White_Matter	2
74	Left_Thin_Cerebral_White_Matter	0
77	Bilateral-Lesions				0
80	Bone							0
81	Fat								0
82	Bright-Unknown					0
83	Dark_Unknown					0
84	Corpus_Callosum					0

